Unnamed: 0,medications,med_dm_use,med_chol_use,med_bp_use,med_dep_use
840,cortisporin,0,0,0,0
841,muco-fen 800,0,0,0,0
842,fergon,0,0,0,0
843,caverject,0,0,0,0
844,androgel 1%,0,0,0,0
845,decadron,0,0,0,0
846,roxicet,0,0,0,0
847,gentamicin sulfate,0,0,0,0
848,sular,0,0,0,0
849,fluticasone propionate,0,0,0,0
850,restoril,0,0,0,0
851,thyrolar-3,0,0,0,0
852,robaxin-750,0,0,0,0
853,depo-testosterone,0,0,0,0
854,peridex,0,0,0,0
855,percodan,0,0,0,0
856,metolazone,0,0,0,0
857,zovia - 135,0,0,0,0
858,triamcinolone creme,0,0,0,0
859,parafon forte dsc,0,0,0,0
860,estrostep fe,0,0,0,0
861,mavik,0,0,0,0
862,rilutek,0,0,0,0
863,vancomycin hcl,0,0,0,0
864,ticlid,0,0,0,0
865,famvir,0,0,0,0
866,iron polysaccharides complex,0,0,0,0
867,anusol,0,0,0,0
868,clindamycin hcl,0,0,0,0
869,helidac,0,0,0,0
870,atarax,0,0,0,0
871,periogard,0,0,0,0
872,asa/calcium carb/magnesium/alh,0,0,0,0
873,limbitrol,0,0,0,0
874,catapres-tts 2,0,0,0,0
875,ketoprofen-30% oint,0,0,0,0
876,cartia xr,0,0,0,0
877,ciprofloxacin hcl,0,0,0,0
878,cataflam,0,0,0,0
879,guaifenesin/codeine phosphate,0,0,0,0
880,bromfed,0,0,0,0
881,"premarin cream, vaginal",0,0,0,0
882,humulin n,0,0,0,0
883,lantus,0,0,0,0
884,humalog,0,0,0,0
885,levlen 28,0,0,0,0
886,oxycodone hcl,0,0,0,0
887,fluconazole,0,0,0,0
888,amantadine hcl,0,0,0,0
889,amidrine,0,0,0,0
890,nasalcrom,0,0,0,0
891,periactin,0,0,0,0
892,andro gel,0,0,0,0
893,phenylhistine dh,0,0,0,0
894,irbesartan/hydrochlorothiazide,0,0,1,0
895,amoxil,0,0,0,0
896,famotidine,0,0,0,0
897,sulfatrim,0,0,0,0
898,ms contin,0,0,0,0
899,triamcinolone acetonide ointment 1%,0,0,0,0
900,chromagen forte,0,0,0,0
901,fioricet w/codeine,0,0,0,0
902,valsartan,0,0,1,0
903,humibid,0,0,0,0
904,ionamin,0,0,0,0
905,nolvadex,0,0,0,0
906,hydrodiuril,0,0,0,0
907,cutivate cream,0,0,0,0
908,travatan,0,0,0,0
909,fentanyl,0,0,0,0
910,vaniqa,0,0,0,0
911,amitriptyline w/perphenazine,0,0,0,1
912,lotrimin,0,0,0,0
913,tolnaftate,0,0,0,0
914,amit/gaba/libo 3/5/5,0,0,0,0
915,mometasone furoate topical .1%,0,0,0,0
916,semprex-d,0,0,0,0
917,aristocort cream,0,0,0,0
918,hydrocod bit/homatropine,0,0,0,0
919,tenuate,0,0,0,0
920,azopt,0,0,0,0
921,klaron lotion,0,0,0,0
922,mirtazapine,0,0,0,1
923,penlac topical soln,0,0,0,0
924,prednisolone sodium phosphate,0,0,0,0
925,celecoxib,0,0,0,0
926,reserpine/hydroflumethiazide,0,0,0,0
927,diazoxide,0,0,0,0
928,ocuvite,0,0,0,0
929,purinethol,0,0,0,0
930,oxaprozin,0,0,0,0
931,cromolyn sodium,0,0,0,0
932,albuterol sulfate/ipratropiu,0,0,0,0
933,azelastine hcl,0,0,0,0
934,nizoral shampoo,0,0,0,0
935,arava,0,0,0,0
936,pravastatin sodium,0,1,0,0
937,sulfasalazine,0,0,0,0
938,fiv-asa suppository,0,0,0,0
939,diphenhydramine hcl,0,0,0,0
940,sucralfate,0,0,0,0
941,cardec-dm,0,0,0,0
942,pentasa,0,0,0,0
943,rowasa,0,0,0,0
944,naprelan,0,0,0,0
945,galantamine hydrobromide,0,0,0,0
946,maxair autohaler,0,0,0,0
947,icar-c,0,0,0,0
948,folty,0,0,0,0
949,duoneb,0,0,0,0
950,alesse-21,0,0,0,0
951,luvox,0,0,0,0
952,bupropion hcl,0,0,0,1
953,hydrocortisone acetate,0,0,0,0
954,agrylin,0,0,0,0
955,hydrea,0,0,0,0
956,ceclor,0,0,0,0
957,azelex 20%,0,0,0,0
958,demulen 1/50-28,0,0,0,0
959,monistat 7,0,0,0,0
960,easprin,0,0,0,0
961,halcion,0,0,0,0
962,alora,0,0,0,0
963,esclim,0,0,0,0
964,polymyxin b sulfate/hc,0,0,0,0
965,norplant,0,0,0,0
966,bromocriptine mesylate,0,0,0,0
967,thalidomide,0,0,0,0
968,flurazepam hcl,0,0,0,0
969,decongestant,0,0,0,0
970,guaifenesin/pseudoephedrine,0,0,0,0
971,epinephrine injection,0,0,0,0
972,bromfed-pd,0,0,0,0
973,plexion,0,0,0,0
974,candesartan cilexetil,0,0,0,0
975,colace-t,0,0,0,0
976,betamethasone dipropionate lotion,0,0,0,0
977,aclovate,0,0,0,0
978,humibid l.a.,0,0,0,0
979,lovenox,0,0,0,0
980,fiorpap,0,0,0,0
981,tri-norinyl,0,0,0,0
982,nitrofurantoin,0,0,0,0
983,nestabs fa,0,0,0,0
984,clomiphene citrate,0,0,0,0
985,bisacodyl,0,0,0,0
986,nicotine transdermal,0,0,0,0
987,nicotine,0,0,0,0
988,nicotrol,0,0,0,0
989,dipivefrin hcl,0,0,0,0
990,sertraline hcl,0,0,0,1
991,adoxa,0,0,0,0
992,flovent rotadisk,0,0,0,0
993,serevent diskus,0,0,0,0
994,hctz/reserpine/hydralazine,0,0,0,0
995,triminulet,0,0,0,0
996,peri-colace,0,0,0,0
997,dilantin,0,0,0,0
998,miralax,0,0,0,0
999,aldactazide,0,0,0,0
1000,metamucil,0,0,0,0
1001,diabeta,0,0,0,0
1002,citracal,0,0,0,0
1003,azithromycin,0,0,0,0
1004,norethindrone,0,0,0,0
1005,estrace cream,0,0,0,0
1006,mentex creme,0,0,0,0
1007,axid,0,0,0,0
1008,hydrocortisone butyrate 1%,0,0,0,0
1009,tetanus toxoid,0,0,0,0
1010,triamcinolone acetonide-cream,0,0,0,0
1011,rosiglitazone maleate,0,0,0,0
1012,chloroquine phosphate,0,0,0,0
1013,cyclophosphamide,0,0,0,0
1014,sulfamethoxazole/trimethopri,0,0,0,0
1015,leucovorin calcium,0,0,0,0
1016,pentoxifylline,0,0,0,0
1017,diltiazem malate,0,0,1,0
1018,quinapril hcl/hctz,0,0,0,0
1019,pindolol,0,0,0,0
1020,norpace,0,0,0,0
1021,propoxyphene napsylate,0,0,0,0
1022,doxidan,0,0,0,0
1023,sandostatin lar,0,1,0,0
1024,vitamin e,0,0,0,0
1025,testosterone gel,0,0,0,0
1026,itraconazole,0,0,0,0
1027,benzlnatate,0,0,0,0
1028,oxycodone w/acetaminophen,0,0,0,0
1029,microgestin fe,0,0,0,0
1030,tobramycin sulfate/dexameth,0,0,0,0
1031,griseofulvin ultramicrosize,0,0,0,0
1032,chromagen ob,0,0,0,0
1033,minitran,0,0,0,0
1034,cortenema,0,0,0,0
1035,bimatoprost,0,0,0,0
1036,triamcinolone acetonide cream,0,0,0,0
1037,librium,0,0,0,0
1038,tilade,0,0,0,0
1039,paroxetine hcl,0,0,0,1
1040,colestid,0,0,0,0
1041,luminal sodium,0,0,0,0
1042,trexall,0,0,0,0
1043,prolex-d,0,0,0,0
1044,olux foam,0,0,0,0
1045,tobramycin sulfate,0,0,0,0
1046,mycelex,0,0,0,0
1047,landain,0,0,0,0
1048,alphagan p,0,0,0,0
1049,clobetasol proprionate solution,0,0,0,0
1050,c-plo ketoralacid/,0,0,0,0
1051,dexamethasone,0,0,0,0
1052,adderall,0,0,0,0
1053,claron ka,0,0,0,0
1054,azelex ta,0,0,0,0
1055,claron-ca,0,0,0,0
1056,azelex-ka,0,0,0,0
1057,pandol,0,0,0,0
1058,lactulose,0,0,0,0
1059,testosterone ka,0,0,0,0
1060,bisoprolol fumarate,0,0,0,0
1061,ortho prefest,0,0,0,0
1062,tobradex,0,0,0,0
1063,bonine - ta,0,0,0,0
1064,endocet,0,0,0,0
1065,cephalexin hcl,0,0,0,0
1066,anafranil,0,0,0,0
1067,bacitracin zinc/polymyx b sulf,0,0,0,0
1068,combivir,0,0,0,0
1069,kaletra,0,0,0,0
1070,coq10,0,0,0,0
1071,nexium- ca,0,0,0,0
1072,nabacort,0,0,0,0
1073,hydrotuss,0,0,0,0
1074,grifulvin v,0,0,0,0
1075,neomycin/polymyxin,0,0,0,0
1076,nitro transderm,0,0,0,0
1077,privinil,0,0,0,0
1078,naratriptan hcl,0,0,0,0
1079,triphasil-21,0,0,0,0
1080,ansaid,0,0,0,0
1081,volsol,0,0,0,0
1082,vaniga eflornithine hcl,0,0,0,0
1083,fluticasone propionate topical,0,0,0,0
1084,lescol xl,0,0,0,0
1085,temovate,0,0,0,0
1086,montelukast sodium,0,0,0,0
1087,metformin,1,0,0,0
1088,liothyronine sodium,0,0,0,0
1089,nexium route is cream,0,0,0,0
1090,galantamine/placebo,0,0,0,0
1091,betamethasone dipropionate,0,0,0,0
1092,westcort,0,0,0,0
1093,synvisc,0,0,0,0
1094,catapres-tts 3,0,0,0,0
1095,loprox- ka,0,0,0,0
1096,diphenhydramine,0,0,0,0
1097,estring,0,0,0,0
1098,aprazolom,0,0,0,0
1099,cyclocort,0,0,0,0
1100,penlac topical solution,0,0,0,0
1101,tylenol w/codeine,0,0,0,0
1102,testosterone cream,0,0,0,0
1103,protuss-d,0,0,0,0
1104,cyproheptadine hcl,0,0,0,0
1105,cefuroxime sodium,0,0,0,0
1106,fiv-asa suppos,0,0,0,0
1107,insul nph hu rec/ins rg hu r,0,0,0,0
1108,pyridium plus,0,0,0,0
1109,metrolotion,0,0,0,0
1110,entex la,0,0,0,0
1111,nexium ta,0,0,0,0
1112,aggrenox,0,0,0,0
1113,dipyridamole,0,0,0,0
1114,anastrozole,0,0,0,0
1115,benicar,0,0,0,0
1116,benicar hct,0,0,0,0
1117,bravelle,0,0,0,0
1118,ovidrel,0,0,0,0
1119,zetia,0,0,0,0
1120,minoxidil,0,0,0,0
1121,zelnorm,0,0,0,0
1122,metformin hcl er,1,0,0,0
1123,crestor,0,1,0,0
1124,monistat 3,0,0,0,0
1125,januvia,0,0,0,0
1126,calcium carb w/vitamin d,0,0,0,0
1127,low-dose aspirin,0,0,0,0
1128,boniva,0,0,0,0
1129,janumet,0,0,0,0
1130,hydrocortisone 1%,0,0,0,0
1131,zinc oxide,0,0,0,0
1132,enjuvia,0,0,0,0
1133,azulfidine,0,0,0,0
1134,orlistat,0,0,0,0
1135,loratadine,0,0,0,0
1136,b-complex,0,0,0,0
1137,meprobamate,0,0,0,0
1138,trimebutina,0,0,0,0
1139,quinapril hcl,0,0,0,0
1140,zymar,0,0,0,0
1141,androgel,0,0,0,0
1142,testim,0,0,0,0
1143,insulin regular human rec,1,0,0,0
1144,vytorin,0,0,0,0
1145,campral,0,0,0,0
1146,hydrocodone/acetaminophen,0,0,0,0
1147,lyrica,0,0,0,0
1148,additional drugs,0,0,0,0
1149,orap,0,0,0,0
1150,ambien cr,0,0,0,0
1151,naltrexone hcl,0,0,0,0
1152,revia,0,0,0,0
1153,metaxalone,0,0,0,0
1154,caduet,0,0,0,0
1155,cartia xt,0,0,0,0
1156,avodart,0,0,0,0
1157,taztia xt,0,0,0,0
1158,avandaryl,0,0,0,0
1159,metanx,0,0,0,0
1160,supartz,0,0,0,0
1161,ortho evra,0,0,0,0
1162,flecainide acetate,0,0,0,0
1163,trimethoprim,0,0,0,0
1164,propoxyphene napsylate/apap,0,0,0,0
1165,guaifen/phenyleph hcl/ppa,0,0,0,0
1166,microgestin,0,0,0,0
1167,multivitamin,0,0,0,0
1168,tramadol hcl,0,0,0,0
1169,namenda,0,0,0,0
1170,de-congestine tr,0,0,0,0
1171,chlorpheniramine,0,0,0,0
1172,pioglitazone hcl,1,0,0,0
1173,micardis hct,0,0,0,0
1174,glimepiride,1,0,0,0
1175,foltrin,0,0,0,0
1176,darvon,0,0,0,0
1177,tetracycline,0,0,0,0
1178,dilaudid,0,0,0,0
1179,levothyroxine,0,0,0,0
1180,lexapro,0,0,0,0
1181,lariam,0,0,0,0
1182,quinaretic,0,0,0,0
1183,insulin nph human recom,1,0,0,0
1184,vitamin c,0,0,0,0
1185,doxycycline,0,0,0,0
1186,protopic,0,0,0,0
1187,dexamethasone sodium phosphate,0,0,0,0
1188,fluvastatin sodium,0,1,0,0
1189,carvedilol,0,0,0,0
1190,fosinopril,0,0,0,0
1191,augmentin xr,0,0,0,0
1192,trileptal,0,0,0,0
1193,cymbalta,0,0,0,0
1194,verelan pm,0,0,0,0
1195,wellbutrin xl,0,0,0,0
1196,quinapril,0,0,0,0
1197,paregoric,0,0,0,0
1198,desipramine,0,0,0,0
1199,v-cillin k,0,0,0,0
1200,smz-tmp ds,0,0,0,0
1201,lutein,0,0,0,0
1202,cilostazol,0,0,0,0
1203,strattera,0,0,0,0
1204,dextroamphetamine sulfate,0,0,0,0
1205,botulinum toxin a,0,0,0,0
1206,pantoprazole sodium,0,0,0,0
1207,altocor,0,0,0,0
1208,oyster shell w/vitamin d,0,0,0,0
1209,trazodone,0,0,0,1
1210,citalopram hbr,0,0,0,1
1211,avandamet,0,0,0,0
1212,bayer aspirin,0,0,0,0
1213,byetta,0,0,0,0
1214,"progesterone,micronized",0,0,0,0
1215,proctosol-hc,0,0,0,0
1216,vigamox,0,0,0,0
1217,econazole nitrate,0,0,0,0
1218,fosamax plus d,0,0,0,0
1219,duetact,0,0,0,0
1220,elidel,0,0,0,0
1221,vesicare,0,0,0,0
1222,moexipril/hydrochlorothiazid,0,0,0,0
1223,lisinopril-hctz,0,0,1,0
1224,epipen,0,0,0,0
1225,vitamin b12,0,0,0,0
1226,pedi-dri,0,0,0,0
1227,carmol 40,0,0,0,0
1228,polycitra,0,0,0,0
1229,cytra-k,0,0,0,0
1230,bupropion sr,0,0,0,1
1231,terazosin,0,0,0,0
1232,moexipril hcl,0,0,0,0
1233,metaglip,0,0,0,0
1234,hydrocodone-apap 7.5-650 tb,0,0,0,0
1235,vit b12/pyridoxine hcl/vit b1,0,0,0,0
1236,seasonale,0,0,0,0
1237,apri,0,0,0,0
1238,restasis,0,0,0,0
1239,zegerid,0,0,0,0
1240,baby aspirin,0,0,0,0
1241,meclizine,0,0,0,0
1242,prilosec otc,0,0,0,0
1243,potaba envule,0,0,0,0
1244,pseudoephedrine-chlorphenirami,0,0,0,0
1245,sodium bicarbonate,0,0,0,0
1246,tamsulosin hcl,0,0,0,0
1247,carteolol hcl,0,0,0,0
1248,lidoderm,0,0,0,0
1249,veramyst,0,0,0,0
1250,uroxatral,0,0,0,0
1251,antara,0,0,0,0
1252,tizanidine hcl,0,0,0,0
1253,vicoprofen,0,0,0,0
1254,prascion,0,0,0,0
1255,rythmol sr,0,0,0,0
1256,omacor,0,0,0,0
1257,propafenone hcl,0,0,0,0
1258,abilify,0,0,0,0
1259,haloperidol,0,0,0,0
1260,vibramycin,0,0,0,0
1261,codeine phosphate/apap,0,0,0,0
1262,salflex,0,0,0,0
1263,lunesta,0,0,0,0
1264,potassimin,0,0,0,0
1265,imogen,0,0,0,0
1266,imovane,0,0,0,0
1267,requip,0,0,0,0
1268,dutasteride/placebo,0,0,0,0
1269,azilect,0,0,0,0
1270,ketoprofen,0,0,0,0
1271,oracea,0,0,0,0
1272,folgard rx 2.2,0,0,0,0
1273,actoplus met,0,0,0,0
1274,isopto hyoscine,0,0,0,0
1275,first-progesterone mc 5,0,0,0,0
1276,novolog,0,0,0,0
1277,folgard os,0,0,0,0
1278,pseudo gg tr,0,0,0,0
1279,nortrel,0,0,0,0
1280,bacitracin,0,0,0,0
1281,cialis,0,0,0,0
1282,co q10,0,0,0,0
1283,ibu-profen,0,0,0,0
1284,epidrin,0,0,0,0
1285,zolpidem tartrate,0,0,0,0
1286,magox,0,0,0,0
1287,ezetimibe,0,1,0,0
1288,atacand hct,0,0,0,0
1289,dexedrine,0,0,0,0
1290,glyburide-metformin hcl,1,0,0,0
1291,uniphyl,0,0,0,0
1292,spiriva,0,0,0,0
1293,exforge,0,0,0,0
1294,penicillamine,0,0,0,0
1295,ramipril,0,0,1,0
1296,polyethylene glycol 3350,0,0,0,0
1297,neupro,0,0,0,0
1298,alendronate sodium,0,0,0,0
1299,diltiazem xr,0,0,1,0
1300,fenofibrate,0,0,0,0
1301,foltx,0,0,0,0
1302,reserpine/hydroclorothiazide,0,0,0,0
1303,biotin,0,0,0,0
1304,amiloride hcl,0,0,0,0
1305,duraphen dm,0,0,0,0
1306,exelon,0,0,0,0
1307,stalevo 50,0,0,0,0
1308,lamotrigine,0,0,0,0
1309,diclofenac potassium,0,0,0,0
1310,tekturna,0,0,0,0
1311,cyclosporine,0,0,0,0
1312,enalapril maleate/hctz,0,0,1,0
1313,slo-niacin,0,1,0,0
1314,selenium,0,0,0,0
1315,citracal + d,0,0,0,0
1316,triamterene-hctz,0,0,0,0
1317,femara,0,0,0,0
1318,oxycodone-acetaminophen,0,0,0,0
1319,anacin,0,0,0,0
1320,jantoven,0,0,0,0
1321,fiortal w/codeine #3,0,0,0,0
1322,fergon plus,0,0,0,0
1323,fiorinal w/codeine #3,0,0,0,0
1324,citrucel,0,0,0,0
1325,lorabid,0,0,0,0
1326,apap,0,0,0,0
1327,nicomide,0,0,0,0
1328,palgic d,0,0,0,0
1329,ipratropium bromide,0,0,0,0
1330,lovaza,0,0,0,0
1331,adderall xr,0,0,0,0
1332,glyburide/metformin hcl,1,0,0,0
1333,phentermine hcl,0,0,0,0
1334,norpace cr,0,0,0,0
1335,acebutolol hcl,0,0,0,0
1336,guiatex,0,0,0,0
1337,estronatural,0,0,0,0
1338,vitamin d,0,0,0,0
1339,byetta vs. placebo,0,0,0,0
1340,ammonium lactate,0,0,0,0
1341,klor-con m10,0,0,0,0
1342,senna,0,0,0,0
1343,glucosamine chondroitin,0,0,0,0
1344,altoprev,0,0,0,0
1345,pacerone,0,0,0,0
1346,docetaxel,0,0,0,0
1347,myrac,0,0,0,0
1348,tylenol w/codeine no.4,0,0,0,0
1349,calcitriol,0,0,0,0
1350,tramadol hcl/acetaminophen,0,0,0,0
1351,glycolax,0,0,0,0
1352,vitamin b comp w-c,0,0,0,0
1353,camila,0,0,0,0
1354,pamine forte,0,0,0,0
1355,amox tr/potassium clavulanat,0,0,0,0
1356,lisinopril/hydrochlorothiazi,0,0,1,0
1357,centrum,0,0,0,0
1358,letrozole,0,0,0,0
1359,insulin lispro,1,0,0,0
1360,exubera combination pack 15,0,0,0,0
1361,raptiva,0,0,0,0
1362,levsinex,0,0,0,0
1363,dolobid,0,0,0,0
1364,acarbose,0,0,0,0
1365,ocuvite lutein,0,0,0,0
1366,vicodin es,0,0,0,0
1367,tylenol-codeine no.3,0,0,0,0
1368,keppra,0,0,0,0
1369,ciprofloxacin,0,0,0,0
1370,aspirin ec low dose,0,0,0,0
1371,alfuzosin hcl,0,0,0,0
1372,lasofoxifene or raloxifene,0,0,0,0
1373,lasofoxifene or raloxifen,0,0,0,0
1374,ranexa,0,0,0,0
1375,valacyclovir hcl,0,0,0,0
1376,triamcinolone,0,0,0,0
1377,pen-vee k,0,0,0,0
1378,flutamide,0,0,0,0
1379,systane,0,0,0,0
1380,lupron depot,0,0,0,0
1381,nifedipine er,0,0,0,0
1382,tretinoin,0,0,0,0
1383,novolin 70/30,0,0,0,0
1384,propoxyphene napsylate-apap,0,0,0,0
1385,deconex,0,0,0,0
1386,b-com-c-b12,0,0,0,0
1387,fe-caps,0,0,0,0
1388,ziagen,0,0,0,0
1389,viramune,0,0,0,0
1390,viread,0,0,0,0
1391,epivir,0,0,0,0
1392,epzicom,0,0,0,0
1393,ergotamine/belladonna/pb,0,0,0,0
1394,zyrtec d,0,0,0,0
1395,novolog mix 70/30,0,0,0,0
1396,aromasin,0,0,0,0
1397,oyster shell calcium,0,0,0,0
1398,oyster shell calcium w/vit d,0,0,0,0
1399,oyster shell calcium w/ vit d,0,0,0,0
1400,vitamin b complex,0,0,0,0
1401,catapres-tts 1,0,0,0,0
1402,bontril pdm,0,0,0,0
1403,aristocort a,0,0,0,0
1404,elocon,0,0,0,0
1405,chantix,0,0,0,0
1406,folbee,0,0,0,0
1407,pantoprazole sod sesquihydrate,0,0,0,0
1408,climara pro,0,0,0,0
1409,felodipine er,0,0,0,0
1410,benzac ac,0,0,0,0
1411,slow-mag,0,0,0,0
1412,lisinopril-hydrochlorothiazide,0,0,1,0
1413,glipizide xl,1,0,0,0
1414,insulin reg human rec,1,0,0,0
1415,humalog mix 75/25,0,0,0,0
1416,alamast,0,0,0,0
1417,allergen,0,0,0,0
1418,leuprolide acetate,0,0,0,0
1419,first-progesterone mc 10,0,0,0,0
1420,sonata,0,0,0,0
1421,eemt,0,0,0,0
1422,betamethasone valerate,0,0,0,0
1423,remicade,0,0,0,0
1424,casodex,0,0,0,0
1425,emend,0,0,0,0
1426,aldara,0,0,0,0
1427,novopen 3,0,0,0,0
1428,fish oil,0,0,0,0
1429,aviane,0,0,0,0
1430,isoniazid,0,0,0,0
1431,promethazine w/dm,0,0,0,0
1432,diltiazem er,0,0,1,0
1433,adipex-p,0,0,0,0
1434,allegra-d 12 hour,0,0,0,0
1435,locoid lipocream,0,0,0,0
1436,tacrolimus anhydrous,0,0,0,0
1437,methergine,0,0,0,0
1438,monopril hct,0,0,0,0
1439,maxifed dmx,0,0,0,0
1440,hydro-tussin cbx,0,0,0,0
1441,allergy,0,0,0,0
1442,glipizide er,1,0,0,0
1443,klor-con m20,0,0,0,0
1444,calcium plus vitamin d,0,0,0,0
1445,halobetasol propionate,0,0,0,0
1446,mimyx,0,0,0,0
1447,fluorometholone,0,0,0,0
1448,prevpac,0,0,0,0
1449,citracal prenatal rx,0,0,0,0
1450,prenatal,0,0,0,0
1451,oxycodone/apap,0,0,0,0
1452,ciclopirox olamine,0,0,0,0
1453,salagen,0,0,0,0
1454,estrogel,0,0,0,0
1455,testosterone cypionate,0,0,0,0
1456,promethazine,0,0,0,0
1457,yasmin 28,0,0,0,0
1458,ketorolac tromethamine,0,0,0,0
1459,isordil,0,0,0,0
1460,nifedical xl,0,0,0,0
1461,novolin n,0,0,0,0
1462,protonix iv,0,0,0,0
1463,hydrocodone bit/acetaminophe,0,0,0,0
1464,micronase,0,0,0,0
1465,cordarone,0,0,0,0
1466,necon,0,0,0,0
1467,ortho micronor,0,0,0,0
1468,ursodiol,0,0,0,0
1469,cdp,0,0,0,0
1470,pantoprazole sod sesquihydra,0,0,0,0
1471,norethindrone acetate,0,0,0,0
1472,garamycin,0,0,0,0
1473,carbatrol,0,0,0,0
1474,toradol,0,0,0,0
1475,multi-vitamin,0,0,0,0
1476,amlodipine besylate-benazepril,0,0,1,0
1477,diltiazem cd,0,0,1,0
1478,muro-128,0,0,0,0
1479,atropine sulfate,0,0,0,0
1480,genteal,0,0,0,0
1481,glipizide/metformin hcl,1,0,0,0
1482,chlorthalidone,0,0,0,0
1483,multivitamins,0,0,0,0
1484,calciolysin,0,0,0,0
1485,mirena,0,0,0,0
1486,benazepril hcl-hctz,0,0,0,0
1487,tylenol pm,0,0,0,0
1488,prenatabs obn,0,0,0,0
1489,levitra,0,0,0,0
1490,celebrex/placebo,0,0,0,0
1491,nardil,0,0,0,0
1492,diphenoxylate w/atropine,0,0,0,0
1493,famciclovir,0,0,0,0
1494,centrum silver,0,0,0,0
1495,tums,0,0,0,0
1496,low-ogestrel,0,0,0,0
1497,cellcept,0,0,0,0
1498,spironolactone/hctz,0,0,0,0
1499,butalbital compound w/codeine,0,0,0,0
1500,tussi-12,0,0,0,0
1501,butalbital-apap-caffeine,0,0,0,0
1502,melatonin,0,0,0,0
1503,quetiapine fumarate,0,0,0,0
1504,hyalgan,0,0,0,0
1505,primidone,0,0,0,0
1506,azo,0,0,0,0
1507,sotalol,0,0,0,0
1508,duac,0,0,0,0
1509,volmax,0,0,0,0
1510,tessalon,0,0,0,0
1511,elestat,0,0,0,0
1512,optivar,0,0,0,0
1513,xyzal,0,0,0,0
1514,visicol,0,0,0,0
1515,triazolam,0,0,0,0
1516,clarithromycin,0,0,0,0
1517,amibid la,0,0,0,0
1518,femring,0,0,0,0
1519,erythromycin ethylsuccinate,0,0,0,0
1520,econopred plus,0,0,0,0
1521,paxil cr,0,0,0,0
1522,tylenol arthritis,0,0,0,0
1523,cutivate,0,0,0,0
1524,cardizem la,0,0,0,0
1525,hemorrhoidal hc,0,0,0,0
1526,hydroxyurea,0,0,0,0
1527,jolivette,0,0,0,0
1528,erythrocin stearate,0,0,0,0
1529,nifediac cc,0,0,0,0
1530,doc-q-lace,0,0,0,0
1531,insulin lente beef,1,0,0,0
1532,noritate,0,0,0,0
1533,sulfamethoxazole,0,0,0,0
1534,tussin cold-cough,0,0,0,0
1535,acetaminophen-codeine,0,0,0,0
1536,acetaminophen w/codeine #3,0,0,0,0
1537,diflorasone diacetate,0,0,0,0
1538,urea,0,0,0,0
1539,levemir,0,0,0,0
1540,coreg cr,0,0,0,0
1541,symlin,0,0,0,0
1542,torsemide,0,0,0,0
1543,prednisolone sod phosphate,0,0,0,0
1544,liquibid-pd,0,0,0,0
1545,oxistat,0,0,0,0
1546,zyflo,0,0,0,0
1547,zylet,0,0,0,0
1548,alavert,0,0,0,0
1549,nitroquick,0,0,0,0
1550,prozac weekly,0,0,0,0
1551,guaifenex g,0,0,0,0
1552,hydrocodone-acetaminophen,0,0,0,0
1553,caltrate 600,0,0,0,0
1554,sinemet cr,0,0,0,0
1555,metoprolol-hydrochlorothiazide,0,0,1,0
1556,albuterol sulfate hfa,0,0,0,0
1557,loperamide hcl,0,0,0,0
1558,salex,0,0,0,0
1559,taclonex,0,0,0,0
1560,budeprion xl,0,0,0,0
1561,flovent hfa,0,0,0,0
1562,benazepril/hydrochlorothiazi,0,0,0,0
1563,delatestryl,0,0,0,0
1564,ciprodex,0,0,0,0
1565,humira,0,0,0,0
1566,barbidonna,0,0,0,0
1567,stool softener,0,0,0,0
1568,tranxene t-tab,0,0,0,0
1569,asmanex,0,0,0,0
1570,u-bag newborn,0,0,0,0
1571,olux,0,0,0,0
1572,allerest no drowsiness,0,0,0,0
1573,sanctura,0,0,0,0
1574,alocril,0,0,0,0
1575,desmopressin acetate,0,0,0,0
1576,ropinirole hcl,0,0,0,0
1577,erythromycin estolate,0,0,0,0
1578,norvir,0,0,0,0
1579,re urea 40,0,0,0,0
1580,pioglitazone or placebo,1,0,0,0
1581,ribasphere,0,0,0,0
1582,peg-intron redipen,0,0,0,0
1583,travatan z,0,0,0,0
1584,xeloda,0,0,0,0
1585,ketek,0,0,0,0
1586,xopenex,0,0,0,0
1587,copaxone,0,0,0,0
1588,mucinex,0,0,0,0
1589,fenofibrate/placebo,0,0,0,0
1590,ocuvite preservision,0,0,0,0
1591,betimol,0,0,0,0
1592,aspir 81,0,0,0,0
1593,tri-luma,0,0,0,0
1594,bi-est,0,0,0,0
1595,oxytrol,0,0,0,0
1596,ddavp,0,0,0,0
1597,genotropin,0,0,0,0
1598,finacea,0,0,0,0
1599,klaron,0,0,0,0
1600,differin,0,0,0,0
1601,darvocet a500,0,0,0,0
1602,memantine hcl,0,0,0,0
1603,frova,0,0,0,0
1604,fastin,0,0,0,0
1605,prevacid naprapac,0,0,0,0
1606,kariva,0,0,0,0
1607,niferex,0,0,0,0
1608,zemplar,0,0,0,0
1609,acetasol hc,0,0,0,0
1610,qvar,0,0,0,0
1611,nor-q-d,0,0,0,0
1612,marcaine-epinephrine,0,0,0,0
1613,ancef,0,0,0,0
1614,bonine,0,0,0,0
1615,ergocalciferol,0,0,0,0
1616,ampicillin,0,0,0,0
1617,lidazone hc,0,0,0,0
1618,dibucaine,0,0,0,0
1619,diamox,0,0,0,0
1620,guaifen/p-ephed hcl,0,0,0,0
1621,levall g,0,0,0,0
