"","medications"
"979","LOVENOX"
"980","FIORPAP"
"981","TRI-NORINYL"
"982","NITROFURANTOIN"
"983","NESTABS FA"
"984","CLOMIPHENE CITRATE"
"985","BISACODYL"
"986","NICOTINE TRANSDERMAL"
"987","NICOTINE"
"988","NICOTROL"
"989","DIPIVEFRIN HCL"
"990","SERTRALINE HCL"
"991","ADOXA"
"992","FLOVENT ROTADISK"
"993","SEREVENT DISKUS"
"994","HCTZ/RESERPINE/HYDRALAZINE"
"995","TRIMINULET"
"996","PERI-COLACE"
"997","DILANTIN"
"998","MIRALAX"
"999","ALDACTAZIDE"
"1000","METAMUCIL"
"1001","DIABETA"
"1002","CITRACAL"
"1003","AZITHROMYCIN"
"1004","NORETHINDRONE"
"1005","ESTRACE CREAM"
"1006","MENTEX CREME"
"1007","AXID"
"1008","HYDROCORTISONE BUTYRATE 1%"
"1009","TETANUS TOXOID"
"1010","TRIAMCINOLONE ACETONIDE-CREAM"
"1011","ROSIGLITAZONE MALEATE"
"1012","CHLOROQUINE PHOSPHATE"
"1013","CYCLOPHOSPHAMIDE"
"1014","SULFAMETHOXAZOLE/TRIMETHOPRI"
"1015","LEUCOVORIN CALCIUM"
"1016","PENTOXIFYLLINE"
"1017","DILTIAZEM MALATE"
"1018","QUINAPRIL HCL/HCTZ"
"1019","PINDOLOL"
"1020","NORPACE"
"1021","PROPOXYPHENE NAPSYLATE"
"1022","DOXIDAN"
"1023","SANDOSTATIN LAR"
"1024","VITAMIN E"
"1025","TESTOSTERONE GEL"
"1026","ITRACONAZOLE"
"1027","BENZLNATATE"
"1028","OXYCODONE W/ACETAMINOPHEN"
"1029","MICROGESTIN FE"
"1030","TOBRAMYCIN SULFATE/DEXAMETH"
"1031","GRISEOFULVIN ULTRAMICROSIZE"
"1032","CHROMAGEN OB"
"1033","MINITRAN"
"1034","CORTENEMA"
"1035","BIMATOPROST"
"1036","TRIAMCINOLONE ACETONIDE CREAM"
"1037","LIBRIUM"
"1038","TILADE"
"1039","PAROXETINE HCL"
"1040","COLESTID"
"1041","LUMINAL SODIUM"
"1042","TREXALL"
"1043","PROLEX-D"
"1044","OLUX FOAM"
"1045","TOBRAMYCIN SULFATE"
"1046","MYCELEX"
"1047","LANDAIN"
"1048","ALPHAGAN P"
"1049","CLOBETASOL PROPRIONATE SOLUTION"
"1050","C-PLO KETORALACID/"
"1051","DEXAMETHASONE"
"1052","ADDERALL"
"1053","CLARON KA"
"1054","AZELEX TA"
"1055","CLARON-CA"
"1056","AZELEX-KA"
"1057","PANDOL"
"1058","LACTULOSE"
"1059","TESTOSTERONE KA"
"1060","BISOPROLOL FUMARATE"
"1061","ORTHO PREFEST"
"1062","TOBRADEX"
"1063","BONINE - TA"
"1064","ENDOCET"
"1065","CEPHALEXIN HCL"
"1066","ANAFRANIL"
"1067","BACITRACIN ZINC/POLYMYX B SULF"
"1068","COMBIVIR"
"1069","KALETRA"
"1070","COQ10"
"1071","NEXIUM- CA"
"1072","NABACORT"
"1073","HYDROTUSS"
"1074","GRIFULVIN V"
"1075","NEOMYCIN/POLYMYXIN"
"1076","NITRO TRANSDERM"
"1077","PRIVINIL"
"1078","NARATRIPTAN HCL"
"1079","TRIPHASIL-21"
"1080","ANSAID"
"1081","VOLSOL"
"1082","VANIGA EFLORNITHINE HCL"
"1083","FLUTICASONE PROPIONATE TOPICAL"
"1084","LESCOL XL"
"1085","TEMOVATE"
"1086","MONTELUKAST SODIUM"
"1087","METFORMIN"
"1088","LIOTHYRONINE SODIUM"
"1089","NEXIUM ROUTE IS CREAM"
"1090","GALANTAMINE/PLACEBO"
"1091","BETAMETHASONE DIPROPIONATE"
"1092","WESTCORT"
"1093","SYNVISC"
"1094","CATAPRES-TTS 3"
"1095","LOPROX- KA"
"1096","DIPHENHYDRAMINE"
"1097","ESTRING"
"1098","APRAZOLOM"
"1099","CYCLOCORT"
"1100","PENLAC TOPICAL SOLUTION"
"1101","TYLENOL W/CODEINE"
"1102","TESTOSTERONE CREAM"
"1103","PROTUSS-D"
"1104","CYPROHEPTADINE HCL"
"1105","CEFUROXIME SODIUM"
"1106","FIV-ASA SUPPOS"
"1107","INSUL NPH HU REC/INS RG HU R"
"1108","PYRIDIUM PLUS"
"1109","METROLOTION"
"1110","ENTEX LA"
"1111","NEXIUM TA"
"1112","AGGRENOX"
"1113","DIPYRIDAMOLE"
"1114","ANASTROZOLE"
"1115","BENICAR"
"1116","BENICAR HCT"
"1117","BRAVELLE"
"1118","OVIDREL"
"1119","ZETIA"
"1120","MINOXIDIL"
"1121","ZELNORM"
"1122","METFORMIN HCL ER"
"1123","CRESTOR"
"1124","MONISTAT 3"
"1125","JANUVIA"
"1126","CALCIUM CARB W/VITAMIN D"
"1127","LOW-DOSE ASPIRIN"
"1128","BONIVA"
"1129","JANUMET"
"1130","HYDROCORTISONE 1%"
"1131","ZINC OXIDE"
"1132","ENJUVIA"
"1133","AZULFIDINE"
"1134","ORLISTAT"
"1135","LORATADINE"
"1136","B-COMPLEX"
"1137","MEPROBAMATE"
"1138","TRIMEBUTINA"
"1139","QUINAPRIL HCL"
"1140","ZYMAR"
"1141","ANDROGEL"
"1142","TESTIM"
"1143","INSULIN REGULAR HUMAN REC"
"1144","VYTORIN"
"1145","CAMPRAL"
"1146","HYDROCODONE/ACETAMINOPHEN"
"1147","LYRICA"
"1148","ADDITIONAL DRUGS"
"1149","ORAP"
"1150","AMBIEN CR"
"1151","NALTREXONE HCL"
"1152","REVIA"
"1153","METAXALONE"
"1154","CADUET"
"1155","CARTIA XT"
"1156","AVODART"
"1157","TAZTIA XT"
"1158","AVANDARYL"
"1159","METANX"
"1160","SUPARTZ"
"1161","ORTHO EVRA"
"1162","FLECAINIDE ACETATE"
"1163","TRIMETHOPRIM"
"1164","PROPOXYPHENE NAPSYLATE/APAP"
"1165","GUAIFEN/PHENYLEPH HCL/PPA"
"1166","MICROGESTIN"
"1167","MULTIVITAMIN"
"1168","TRAMADOL HCL"
"1169","NAMENDA"
"1170","DE-CONGESTINE TR"
"1171","CHLORPHENIRAMINE"
"1172","PIOGLITAZONE HCL"
"1173","MICARDIS HCT"
"1174","GLIMEPIRIDE"
"1175","FOLTRIN"
"1176","DARVON"
"1177","TETRACYCLINE"
"1178","DILAUDID"
"1179","LEVOTHYROXINE"
"1180","LEXAPRO"
"1181","LARIAM"
"1182","QUINARETIC"
"1183","INSULIN NPH HUMAN RECOM"
"1184","VITAMIN C"
"1185","DOXYCYCLINE"
"1186","PROTOPIC"
"1187","DEXAMETHASONE SODIUM PHOSPHATE"
"1188","FLUVASTATIN SODIUM"
"1189","CARVEDILOL"
"1190","FOSINOPRIL"
"1191","AUGMENTIN XR"
"1192","TRILEPTAL"
"1193","CYMBALTA"
"1194","VERELAN PM"
"1195","WELLBUTRIN XL"
"1196","QUINAPRIL"
"1197","PAREGORIC"
"1198","DESIPRAMINE"
"1199","V-CILLIN K"
"1200","SMZ-TMP DS"
"1201","LUTEIN"
"1202","CILOSTAZOL"
"1203","STRATTERA"
"1204","DEXTROAMPHETAMINE SULFATE"
"1205","BOTULINUM TOXIN A"
"1206","PANTOPRAZOLE SODIUM"
"1207","ALTOCOR"
"1208","OYSTER SHELL W/VITAMIN D"
"1209","TRAZODONE"
"1210","CITALOPRAM HBR"
"1211","AVANDAMET"
"1212","BAYER ASPIRIN"
"1213","BYETTA"
"1214","PROGESTERONE,MICRONIZED"
"1215","PROCTOSOL-HC"
"1216","VIGAMOX"
"1217","ECONAZOLE NITRATE"
"1218","FOSAMAX PLUS D"
"1219","DUETACT"
"1220","ELIDEL"
"1221","VESICARE"
"1222","MOEXIPRIL/HYDROCHLOROTHIAZID"
"1223","LISINOPRIL-HCTZ"
"1224","EPIPEN"
"1225","VITAMIN B12"
"1226","PEDI-DRI"
"1227","CARMOL 40"
"1228","POLYCITRA"
"1229","CYTRA-K"
"1230","BUPROPION SR"
"1231","TERAZOSIN"
"1232","MOEXIPRIL HCL"
"1233","METAGLIP"
"1234","HYDROCODONE-APAP 7.5-650 TB"
"1235","VIT B12/PYRIDOXINE HCL/VIT B1"
"1236","SEASONALE"
"1237","APRI"
"1238","RESTASIS"
"1239","ZEGERID"
"1240","BABY ASPIRIN"
"1241","MECLIZINE"
"1242","PRILOSEC OTC"
"1243","POTABA ENVULE"
"1244","PSEUDOEPHEDRINE-CHLORPHENIRAMI"
"1245","SODIUM BICARBONATE"
"1246","TAMSULOSIN HCL"
"1247","CARTEOLOL HCL"
"1248","LIDODERM"
"1249","VERAMYST"
"1250","UROXATRAL"
"1251","ANTARA"
"1252","TIZANIDINE HCL"
"1253","VICOPROFEN"
"1254","PRASCION"
"1255","RYTHMOL SR"
"1256","OMACOR"
"1257","PROPAFENONE HCL"
"1258","ABILIFY"
"1259","HALOPERIDOL"
"1260","VIBRAMYCIN"
"1261","CODEINE PHOSPHATE/APAP"
"1262","SALFLEX"
"1263","LUNESTA"
"1264","POTASSIMIN"
"1265","IMOGEN"
"1266","IMOVANE"
"1267","REQUIP"
"1268","DUTASTERIDE/PLACEBO"
"1269","AZILECT"
"1270","KETOPROFEN"
"1271","ORACEA"
"1272","FOLGARD RX 2.2"
"1273","ACTOPLUS MET"
"1274","ISOPTO HYOSCINE"
"1275","FIRST-PROGESTERONE MC 5"
"1276","NOVOLOG"
"1277","FOLGARD OS"
"1278","PSEUDO GG TR"
"1279","NORTREL"
"1280","BACITRACIN"
"1281","CIALIS"
"1282","CO Q10"
"1283","IBU-PROFEN"
"1284","EPIDRIN"
"1285","ZOLPIDEM TARTRATE"
"1286","MAGOX"
"1287","EZETIMIBE"
"1288","ATACAND HCT"
"1289","DEXEDRINE"
"1290","GLYBURIDE-METFORMIN HCL"
"1291","UNIPHYL"
"1292","SPIRIVA"
"1293","EXFORGE"
"1294","PENICILLAMINE"
"1295","RAMIPRIL"
"1296","POLYETHYLENE GLYCOL 3350"
"1297","NEUPRO"
"1298","ALENDRONATE SODIUM"
"1299","DILTIAZEM XR"
"1300","FENOFIBRATE"
"1301","FOLTX"
"1302","RESERPINE/HYDROCLOROTHIAZIDE"
"1303","BIOTIN"
"1304","AMILORIDE HCL"
"1305","DURAPHEN DM"
"1306","EXELON"
"1307","STALEVO 50"
"1308","LAMOTRIGINE"
"1309","DICLOFENAC POTASSIUM"
"1310","TEKTURNA"
"1311","CYCLOSPORINE"
"1312","ENALAPRIL MALEATE/HCTZ"
"1313","SLO-NIACIN"
"1314","SELENIUM"
"1315","CITRACAL + D"
"1316","TRIAMTERENE-HCTZ"
"1317","FEMARA"
"1318","OXYCODONE-ACETAMINOPHEN"
"1319","ANACIN"
"1320","JANTOVEN"
"1321","FIORTAL W/CODEINE #3"
"1322","FERGON PLUS"
"1323","FIORINAL W/CODEINE #3"
"1324","CITRUCEL"
"1325","LORABID"
"1326","APAP"
"1327","NICOMIDE"
"1328","PALGIC D"
"1329","IPRATROPIUM BROMIDE"
"1330","LOVAZA"
"1331","ADDERALL XR"
"1332","GLYBURIDE/METFORMIN HCL"
"1333","PHENTERMINE HCL"
"1334","NORPACE CR"
"1335","ACEBUTOLOL HCL"
"1336","GUIATEX"
"1337","ESTRONATURAL"
"1338","VITAMIN D"
"1339","BYETTA VS. PLACEBO"
"1340","AMMONIUM LACTATE"
"1341","KLOR-CON M10"
"1342","SENNA"
"1343","GLUCOSAMINE CHONDROITIN"
"1344","ALTOPREV"
"1345","PACERONE"
"1346","DOCETAXEL"
"1347","MYRAC"
"1348","TYLENOL W/CODEINE NO.4"
"1349","CALCITRIOL"
"1350","TRAMADOL HCL/ACETAMINOPHEN"
"1351","GLYCOLAX"
"1352","VITAMIN B COMP W-C"
"1353","CAMILA"
"1354","PAMINE FORTE"
"1355","AMOX TR/POTASSIUM CLAVULANAT"
"1356","LISINOPRIL/HYDROCHLOROTHIAZI"
"1357","CENTRUM"
"1358","LETROZOLE"
"1359","INSULIN LISPRO"
"1360","EXUBERA COMBINATION PACK 15"
"1361","RAPTIVA"
"1362","LEVSINEX"
"1363","DOLOBID"
"1364","ACARBOSE"
"1365","OCUVITE LUTEIN"
"1366","VICODIN ES"
"1367","TYLENOL-CODEINE NO.3"
"1368","KEPPRA"
"1369","CIPROFLOXACIN"
"1370","ASPIRIN EC LOW DOSE"
"1371","ALFUZOSIN HCL"
"1372","LASOFOXIFENE OR RALOXIFENE"
"1373","LASOFOXIFENE OR RALOXIFEN"
"1374","RANEXA"
"1375","VALACYCLOVIR HCL"
"1376","TRIAMCINOLONE"
"1377","PEN-VEE K"
"1378","FLUTAMIDE"
"1379","SYSTANE"
"1380","LUPRON DEPOT"
"1381","NIFEDIPINE ER"
"1382","TRETINOIN"
"1383","NOVOLIN 70/30"
"1384","PROPOXYPHENE NAPSYLATE-APAP"
"1385","DECONEX"
"1386","B-COM-C-B12"
"1387","FE-CAPS"
"1388","ZIAGEN"
"1389","VIRAMUNE"
"1390","VIREAD"
"1391","EPIVIR"
"1392","EPZICOM"
"1393","ERGOTAMINE/BELLADONNA/PB"
"1394","ZYRTEC D"
"1395","NOVOLOG MIX 70/30"
"1396","AROMASIN"
"1397","OYSTER SHELL CALCIUM"
"1398","OYSTER SHELL CALCIUM W/VIT D"
"1399","OYSTER SHELL CALCIUM W/ VIT D"
"1400","VITAMIN B COMPLEX"
"1401","CATAPRES-TTS 1"
"1402","BONTRIL PDM"
"1403","ARISTOCORT A"
"1404","ELOCON"
"1405","CHANTIX"
"1406","FOLBEE"
"1407","PANTOPRAZOLE SOD SESQUIHYDRATE"
"1408","CLIMARA PRO"
"1409","FELODIPINE ER"
"1410","BENZAC AC"
"1411","SLOW-MAG"
"1412","LISINOPRIL-HYDROCHLOROTHIAZIDE"
"1413","GLIPIZIDE XL"
"1414","INSULIN REG HUMAN REC"
"1415","HUMALOG MIX 75/25"
"1416","ALAMAST"
"1417","ALLERGEN"
"1418","LEUPROLIDE ACETATE"
"1419","FIRST-PROGESTERONE MC 10"
"1420","SONATA"
"1421","EEMT"
"1422","BETAMETHASONE VALERATE"
"1423","REMICADE"
"1424","CASODEX"
"1425","EMEND"
"1426","ALDARA"
"1427","NOVOPEN 3"
"1428","FISH OIL"
"1429","AVIANE"
"1430","ISONIAZID"
"1431","PROMETHAZINE W/DM"
"1432","DILTIAZEM ER"
"1433","ADIPEX-P"
"1434","ALLEGRA-D 12 HOUR"
"1435","LOCOID LIPOCREAM"
"1436","TACROLIMUS ANHYDROUS"
"1437","METHERGINE"
"1438","MONOPRIL HCT"
"1439","MAXIFED DMX"
"1440","HYDRO-TUSSIN CBX"
"1441","ALLERGY"
"1442","GLIPIZIDE ER"
"1443","KLOR-CON M20"
"1444","CALCIUM PLUS VITAMIN D"
"1445","HALOBETASOL PROPIONATE"
"1446","MIMYX"
"1447","FLUOROMETHOLONE"
"1448","PREVPAC"
"1449","CITRACAL PRENATAL RX"
"1450","PRENATAL"
"1451","OXYCODONE/APAP"
"1452","CICLOPIROX OLAMINE"
"1453","SALAGEN"
"1454","ESTROGEL"
"1455","TESTOSTERONE CYPIONATE"
"1456","PROMETHAZINE"
"1457","YASMIN 28"
"1458","KETOROLAC TROMETHAMINE"
"1459","ISORDIL"
"1460","NIFEDICAL XL"
"1461","NOVOLIN N"
"1462","PROTONIX IV"
"1463","HYDROCODONE BIT/ACETAMINOPHE"
"1464","MICRONASE"
"1465","CORDARONE"
"1466","NECON"
"1467","ORTHO MICRONOR"
"1468","URSODIOL"
"1469","CDP"
"1470","PANTOPRAZOLE SOD SESQUIHYDRA"
"1471","NORETHINDRONE ACETATE"
"1472","GARAMYCIN"
"1473","CARBATROL"
"1474","TORADOL"
"1475","MULTI-VITAMIN"
"1476","AMLODIPINE BESYLATE-BENAZEPRIL"
"1477","DILTIAZEM CD"
"1478","MURO-128"
"1479","ATROPINE SULFATE"
"1480","GENTEAL"
"1481","GLIPIZIDE/METFORMIN HCL"
"1482","CHLORTHALIDONE"
"1483","MULTIVITAMINS"
"1484","CALCIOLYSIN"
"1485","MIRENA"
"1486","BENAZEPRIL HCL-HCTZ"
"1487","TYLENOL PM"
"1488","PRENATABS OBN"
"1489","LEVITRA"
"1490","CELEBREX/PLACEBO"
"1491","NARDIL"
"1492","DIPHENOXYLATE W/ATROPINE"
"1493","FAMCICLOVIR"
"1494","CENTRUM SILVER"
"1495","TUMS"
"1496","LOW-OGESTREL"
"1497","CELLCEPT"
"1498","SPIRONOLACTONE/HCTZ"
"1499","BUTALBITAL COMPOUND W/CODEINE"
"1500","TUSSI-12"
"1501","BUTALBITAL-APAP-CAFFEINE"
"1502","MELATONIN"
"1503","QUETIAPINE FUMARATE"
"1504","HYALGAN"
"1505","PRIMIDONE"
"1506","AZO"
"1507","SOTALOL"
"1508","DUAC"
"1509","VOLMAX"
"1510","TESSALON"
"1511","ELESTAT"
"1512","OPTIVAR"
"1513","XYZAL"
"1514","VISICOL"
"1515","TRIAZOLAM"
"1516","CLARITHROMYCIN"
"1517","AMIBID LA"
"1518","FEMRING"
"1519","ERYTHROMYCIN ETHYLSUCCINATE"
"1520","ECONOPRED PLUS"
"1521","PAXIL CR"
"1522","TYLENOL ARTHRITIS"
"1523","CUTIVATE"
"1524","CARDIZEM LA"
"1525","HEMORRHOIDAL HC"
"1526","HYDROXYUREA"
"1527","JOLIVETTE"
"1528","ERYTHROCIN STEARATE"
"1529","NIFEDIAC CC"
"1530","DOC-Q-LACE"
"1531","INSULIN LENTE BEEF"
"1532","NORITATE"
"1533","SULFAMETHOXAZOLE"
"1534","TUSSIN COLD-COUGH"
"1535","ACETAMINOPHEN-CODEINE"
"1536","ACETAMINOPHEN W/CODEINE #3"
"1537","DIFLORASONE DIACETATE"
"1538","UREA"
"1539","LEVEMIR"
"1540","COREG CR"
"1541","SYMLIN"
"1542","TORSEMIDE"
"1543","PREDNISOLONE SOD PHOSPHATE"
"1544","LIQUIBID-PD"
"1545","OXISTAT"
"1546","ZYFLO"
"1547","ZYLET"
"1548","ALAVERT"
"1549","NITROQUICK"
"1550","PROZAC WEEKLY"
"1551","GUAIFENEX G"
"1552","HYDROCODONE-ACETAMINOPHEN"
"1553","CALTRATE 600"
"1554","SINEMET CR"
"1555","METOPROLOL-HYDROCHLOROTHIAZIDE"
"1556","ALBUTEROL SULFATE HFA"
"1557","LOPERAMIDE HCL"
"1558","SALEX"
"1559","TACLONEX"
"1560","BUDEPRION XL"
"1561","FLOVENT HFA"
"1562","BENAZEPRIL/HYDROCHLOROTHIAZI"
"1563","DELATESTRYL"
"1564","CIPRODEX"
"1565","HUMIRA"
"1566","BARBIDONNA"
"1567","STOOL SOFTENER"
"1568","TRANXENE T-TAB"
"1569","ASMANEX"
"1570","U-BAG NEWBORN"
"1571","OLUX"
"1572","ALLEREST NO DROWSINESS"
"1573","SANCTURA"
"1574","ALOCRIL"
"1575","DESMOPRESSIN ACETATE"
"1576","ROPINIROLE HCL"
"1577","ERYTHROMYCIN ESTOLATE"
"1578","NORVIR"
"1579","RE UREA 40"
"1580","PIOGLITAZONE OR PLACEBO"
"1581","RIBASPHERE"
"1582","PEG-INTRON REDIPEN"
"1583","TRAVATAN Z"
"1584","XELODA"
"1585","KETEK"
"1586","XOPENEX"
"1587","COPAXONE"
"1588","MUCINEX"
"1589","FENOFIBRATE/PLACEBO"
"1590","OCUVITE PRESERVISION"
"1591","BETIMOL"
"1592","ASPIR 81"
"1593","TRI-LUMA"
"1594","BI-EST"
"1595","OXYTROL"
"1596","DDAVP"
"1597","GENOTROPIN"
"1598","FINACEA"
"1599","KLARON"
"1600","DIFFERIN"
"1601","DARVOCET A500"
"1602","MEMANTINE HCL"
"1603","FROVA"
"1604","FASTIN"
"1605","PREVACID NAPRAPAC"
"1606","KARIVA"
"1607","NIFEREX"
"1608","ZEMPLAR"
"1609","ACETASOL HC"
"1610","QVAR"
"1611","NOR-Q-D"
"1612","MARCAINE-EPINEPHRINE"
"1613","ANCEF"
"1614","BONINE"
"1615","ERGOCALCIFEROL"
"1616","AMPICILLIN"
"1617","LIDAZONE HC"
"1618","DIBUCAINE"
"1619","DIAMOX"
"1620","GUAIFEN/P-EPHED HCL"
"1621","LEVALL G"
"1622","MUCINEX DM"
"1623","FOLCAPS"
"1624","PROPOXYPHENE HCL-APAP"
"1625","ZONEGRAN"
"1626","AMILORIDE HCL-HCTZ"
"1627","GATIFLOXACIN"
"1628","ESOMEPRAZOLE MAG TRIHYDRATE"
"1629","CALTRATE PLUS"
"1630","BISOPROLOL FUMARATE/HCTZ"
"1631","FORMOTEROL FUMARATE"
"1632","TRACLEER"
"1633","CORTISONE"
"1634","ROZEREM"
"1635","BISOPROLOL FUMARATE-HCTZ"
"1636","TYLENOL P.M."
"1637","PROPOXYPHENE HCL/ACETAMINOPHEN"
"1638","STALEVO 100"
"1639","CARBIDOPA-LEVODOPA"
"1640","COMTAN"
"1641","EXUBERA INHALER"
"1642","ESTRADIOL/LEVONORGESTREL"
"1643","MOXIFLOXACIN HCL"
"1644","NEVANAC"
"1645","ZOLADEX"
"1646","DOCUSATE SODIUM W/CASANTHRAN"
"1647","BENAZEPRIL HCL/HCTZ"
"1648","VARDENAFIL HCL"
"1649","PREFEST"
"1650","CEFADROXIL"
"1651","BACTROBAN"
"1652","ANGELIQ"
"1653","AREDIA"
"1654","PHOSLO"
"1655","EPOGEN"
"1656","FERRLECIT"
"1657","HECTOROL"
"1658","GERITOL COMPLETE"
"1659","ZADITOR"
"1660","NEOMYCIN-POLYMYXIN-HC"
"1661","SULFAMETHOXAZOLE-TRIMETHOPRIM"
"1662","PAMELOR"
"1663","METHADOSE"
"1664","ASPIRIN ENTERIC COATED"
"1665","CORTEF"
"1666","CALCIUM AND MAGNESIUM"
"1667","RED YEAST RICE"
"1668","ANUSOL-HC"
"1669","DULCOLAX"
"1670","TEVETEN"
"1671","APEXICON"
"1672","CODIMAL DH"
"1673","CORICIDIN D"
"1674","DILT-CD"
"1675","ZONISAMIDE"
"1676","BENAZEPRIL HCL/AMLODIPINE"
"1677","ELMIRON"
"1678","RELPAX"
"1679","BIDIL"
"1680","KENALOG"
"1681","PROPOXYPHENE NAPSYLATE -APAP"
"1682","METAPROTERENOL SULFATE"
"1683","BENZOCAINE"
"1684","VENLAFAXINE HCL"
"1685","ROSUVASTATIN CALCIUM"
"1686","AVAR"
"1687","STEROID INJECTION"
"1688","NEOMYCIN-POLYMYXIN-DEXAMETH"
"1689","CLENIA"
"1690","ATOPICLAIR"
"1691","DURADRIN"
"1692","AMLACTIN"
"1693","VITAMIN B-12 (CYANOCOBALAMIN)"
"1694","FLUDROCORTISONE ACETATE"
"1695","MIDODRINE HCL"
"1696","0.2 MICRON FILTER ATTACHMENT"
"1697","GUAIFENESIN W/PSEUDOEPHEDRIN"
"1698","TRIHEXYPHENIDYL HCL"
"1699","OXYCODONE HCL-ACETAMINOPHEN"
"1700","POLYVINYL ALCOHOL"
"1701","ISOPTIN SR"
"1702","BIDEX"
"1703","MEDENT DM"
"1704","NORETHINDRONE-ETHINYL ESTRAD"
"1705","GUAIFEN/P-EPHED HCL/D-CP"
"1706","TUSSBID"
"1707","PERINDOPRIL ERBUMINE"
"1708","MEGACE"
"1709","VANDAZOLE"
"1710","METHADONE HCL"
"1711","MAG-OXIDE"
"1712","NULEV"
"1713","KADIAN"
"1714","DIGITEX GOLD"
"1715","CLOBEX"
"1716","SALMETEROL XINAFOATE"
"1717","BACITRACIN-POLYMYXIN"
"1718","BETHANECHOL CHLORIDE"
"1719","THYROLAR-1/2"
"1720","THIAMINE HCL"
"1721","SCOPOLAMINE HYDROBROMIDE"
"1722","ONSET FORTE"
"1723","TEKTURNA HCT"
"1724","TRANDOLAPRIL"
"1725","AZOR"
"1726","PROFEN FORTE"
"1727","DENAVIR"
"1728","LESSINA"
"1729","KERALAC"
"1730","VALPROIC ACID"
"1731","ENABLEX"
"1732","ALLOPURINOL SODIUM"
"1733","POLYSACCHARIDE IRON"
"1734","CLARINEX-D 24 HOUR"
"1735","AMITIZA"
"1736","BETAMETHASONE"
"1737","CEFUROXIME AXETIL"
"1738","EVOXAC"
"1739","LEVALBUTEROL HCL"
"1740","GLIPIZIDE-METFORMIN"
"1741","E-MYCIN"
"1742","SERAX"
"1743","CIVANEX CREME"
"1744","ROCALTROL"
"1745","CALCIUM 600"
"1746","OMEGA 3"
"1747","SELDANE"
"1748","STUDY MED/VS PLACEBO FOR NEUROPATHY"
"1749","PROAIR HFA"
"1750","MOBAN"
"1751","TRI-LEVLEN 21"
"1752","TRI-LEVLEN"
"1753","MAGNESIUM OXIDE"
"1754","OYST-CAL-D"
"1755","PROMOGRAN"
"1756","EZOL"
"1757","CEPHADYN"
"1758","NIZATIDINE"
"1759","MACUGEN"
"1760","LUCENTIS"
"1761","INSULIN ASPART"
"1762","AMOX TR-POTASSIUM CLAVULANATE"
"1763","BETAMETHASONE DP AUGMENTED"
"1764","BIOTENE"
"1765","NASAL SPRAY"
"1766","BENZTROPINE MESYLATE"
"1767","ESCITALOPRAM OXALATE"
"1768","OLANZAPINE"
"1769","OYST CAL D"
"1770","FORTAMET"
"1771","AFEDITAB CR"
"1772","ANAMANTLE HC"
"1773","URSO"
"1774","CONCERTA"
"1775","RIFAMPIN"
"1776","ETHAMBUTOL HCL"
"1777","PYRAZINAMIDE"
"1778","TAZORAC"
"1779","TRINESSA"
"1780","EPERBEL-S"
"1781","ACETAZOLAMIDE"
"1782","ACULAR LS"
"1783","EQUETRO"
"1784","NUVARING"
"1785","GLUMETZA"
"1786","PHENYLEPHRINE"
"1787","FIRST-TESTOSTERONE MC"
"1788","TRI-CHLOR"
"1789","HYDROCODONE W-ACETAMINOPHEN"
"1790","ALBUTEROL SULFATE/IPRATROPIUM"
"1791","OMNIHIST L.A."
"1792","CEFDINIR"
"1793","PHENYLEPHRINE CM"
"1794","ISRADIPINE"
"1795","SCOPACE"
"1796","DYNACIRC CR"
"1797","AKWA TEARS"
"1798","VITAMIN B-6"
"1799","AMILORIDE HCL W/HCTZ"
"1800","BELLADONNA ALKALOIDS/PHENOBA"
"1801","FORTICAL"
"1802","AVONEX"
"1803","GLUCOSAMINE SULFATE"
"1804","GUAIFENESIN-PHENYLEPHRINE"
"1805","ANEMAGEN OB"
"1806","THALOMID"
"1807","ATENOLOL-CHLORTHALIDONE"
"1808","CLORAZEPATE DIPOTASSIUM"
"1809","IBUTAB"
"1810","IMURAN"
"1811","HYDROXYZINE COMPOUND"
"1812","ANUCORT-HC"
"1813","PROGEST/TEST-CREAM"
"1814","REPLIVA 21/7"
"1815","ROBINUL FORTE"
"1816","NAFTIN"
"1817","HYDROCORTISONE VALERATE"
"1818","FORADIL"
"1819","COSAMIN DS"
"1820","OXYBUTYNIN"
"1821","ZEBUTAL"
"1822","CLEOCIN HCL"
"1823","VITAMIN B6"
"1824","STELAZINE"
"1825","MEPERGAN FORTIS"
"1826","NEOMYCIN/POLYMIXIN/DEXAMETH"
"1827","GABITRIL"
"1828","CHERATUSSIN AC"
"1829","PROMETHAZINE VC W/CODEINE"
"1830","ASPIRIN EC"
"1831","NITROFURANTOIN MONOHYD MACRO"
"1832","METADATE CD"
"1833","DIETHYLPROPION HCL"
"1834","THEOPHYLLINE ANHYDROUS"
"1835","MAXIPIME"
"1836","OLOPATADINE HCL"
"1837","TRAVOPROST"
"1838","PHENDIMETRAZINE TARTRATE"
"1839","STIMATE"
"1840","POT BICARB/POTASSIUM CHLORID"
"1841","POT CHLORIDE/POT BICARB/CIT AC"
"1842","CLOVE OIL"
"1843","LIDEX"
"1844","ASPIRIN LOW DOSE"
"1845","NEPHROCAPS"
"1846","CARDIA"
"1847","BISMUTH SUBSALICYLATE"
"1848","B-COMPLEX W/C"
"1849","CALCIUM CARBONATE W/VITAMIN D"
"1850","NALFON"
